ano,id_municipio,taxa_bruta_matricula_pre_escola,numero_absoluto_bruto_matricula_pre_escola,taxa_liquida_matricula_pre_escola,numero_absoluto_liquido_matricula_pre_escola
2014,2413300,91.8,172,82.8,155
2015,2413300,80.7,151,75.4,141
2016,2413300,76,142,73.3,137
2017,2413300,69.1,129,64.8,121
2018,2413300,86.6,159,77.3,142
2019,2413300,101,185,85.7,157
2010,2413359,112.9,437,74.4,288
2011,2413359,101.5,403,62.5,248
2012,2413359,106.9,431,72.7,293
2013,2413359,102.7,436,85.3,362
2014,2413359,67.7,292,54,233
2015,2413359,85.5,374,72.4,317
2016,2413359,84.7,376,76.8,341
2017,2413359,88,396,74.9,337
2018,2413359,88.8,398,75.2,337
2019,2413359,95.6,434,82.6,375
2010,2413409,96.8,240,62.1,154
2011,2413409,88,221,53,133
2012,2413409,79.4,200,44.8,113
2013,2413409,80.1,209,74.3,194
2014,2413409,77.2,202,71.1,186
2015,2413409,68.6,180,62.9,165
2016,2413409,71.4,188,61.9,163
2017,2413409,69.7,184,64.4,170
2018,2413409,63.8,166,56.8,148
2019,2413409,63.6,166,56.4,147
2010,2413508,112.7,257,74.1,169
2011,2413508,113.2,257,74,168
2012,2413508,108,244,67.7,153
2013,2413508,89.7,207,73.2,169
2014,2413508,125.3,287,89.5,205
2015,2413508,100.7,229,80.5,183
2016,2413508,106.8,241,77.6,175
2017,2413508,125.9,282,89.7,201
2018,2413508,125.1,274,99.5,218
2019,2413508,109.1,237,87,189
2010,2413557,101.5,133,62.6,82
2011,2413557,99.2,131,74.2,98
2012,2413557,112.8,150,82.7,110
2013,2413557,112.2,155,80.4,111
2014,2413557,100.2,139,71.3,99
2015,2413557,97.6,136,71.7,100
2016,2413557,88.6,124,65.7,92
2017,2413557,83.9,118,57.6,81
2018,2413557,100.7,140,71.9,100
2019,2413557,127.6,178,80.3,112
2010,2413607,102.3,176,75.6,130
2011,2413607,120.3,178,70.9,105
2012,2413607,125,185,84.5,125
2013,2413607,150.5,178,136.1,161
2014,2413607,128.4,139,113.6,123
2015,2413607,164.4,162,152.2,150
2016,2413607,186.5,166,165.2,147
2017,2413607,207,165,186.9,149
2018,2413607,203.3,144,187.8,133
2019,2413607,221.9,137,207.3,128
2010,2413706,87.9,145,61.2,101
2011,2413706,99.4,163,56.1,92
2012,2413706,86.6,142,53,87
2013,2413706,80,137,70.7,121
2014,2413706,89.6,155,79.8,138
2015,2413706,86,150,76.8,134
2016,2413706,86.4,152,79.5,140
2017,2413706,90.7,161,80,142
2018,2413706,79.5,140,74.4,131
2019,2413706,64.3,114,56.4,100
2010,2413805,96.1,74,68.8,53
2011,2413805,89.2,74,59,49
2012,2413805,70.6,60,44.7,38
2013,2413805,86.7,77,78.8,70
2014,2413805,78,70,64.6,58
2015,2413805,57.4,52,52.9,48
2016,2413805,72.1,66,66.7,61
2017,2413805,92,85,81.2,75
2018,2413805,85.1,78,75.3,69
2019,2413805,57.4,53,54.1,50
2010,2413904,49.5,214,28.9,125
2011,2413904,45.8,189,28.1,116
2012,2413904,59.7,247,40.3,167
2013,2413904,85.2,365,69.8,299
2014,2413904,85.4,367,68.4,294
2015,2413904,92.4,398,65.9,284
2016,2413904,77.8,336,65.7,284
2017,2413904,85.7,371,65.6,284
2018,2413904,68.1,291,53.8,230
2019,2413904,90,385,64.3,275
2010,2414001,93.2,466,55,275
2011,2414001,87.1,445,53,271
2012,2414001,84.1,434,53.3,275
2013,2414001,87.5,473,74.7,404
2014,2414001,81.7,447,74.1,405
2015,2414001,81,448,74.7,413
2016,2414001,80.3,449,73.8,413
2017,2414001,74.3,420,66.5,376
2018,2414001,75,416,64,355
2019,2414001,79.8,447,71.6,401
2010,2414100,108.1,322,64.1,191
2011,2414100,101,318,64.8,204
2012,2414100,106.9,339,78.2,248
2013,2414100,98.3,325,94.1,311
2014,2414100,85.8,286,81,270
2015,2414100,84.2,283,78.2,263
2016,2414100,85.3,289,80.2,272
2017,2414100,79.6,272,72.3,247
2018,2414100,81,274,75,254
2019,2414100,85.4,291,78.1,266
2010,2414159,94.3,232,61,150
2011,2414159,103.9,238,69,158
2012,2414159,101.7,236,62.5,145
2013,2414159,106.2,259,94.7,231
2014,2414159,102.6,254,94.1,233
2015,2414159,95.3,229,85.3,205
2016,2414159,101.4,247,87,212
2017,2414159,90.3,223,81.4,201
2018,2414159,75.3,185,67.2,165
2019,2414159,72.8,181,62.4,155
2010,2414209,97.5,423,61.8,268
2011,2414209,95.4,413,62.1,269
2012,2414209,99.8,441,62,274
2013,2414209,98,461,86.5,407
2014,2414209,102.3,493,80.3,387
2015,2414209,77.3,381,62.7,309
2016,2414209,93.5,471,79,398
2017,2414209,98.3,506,82,422
2018,2414209,88.1,454,77.8,401
2019,2414209,82.8,435,65.7,345
2010,2414308,86.6,58,58.2,39
2011,2414308,144.9,71,100,49
2012,2414308,114.3,56,51,25
2013,2414308,102.3,52,92.5,47
2014,2414308,94.1,48,78.4,40
2015,2414308,91.7,47,85.9,44
2016,2414308,93.3,48,85.5,44
2017,2414308,92.9,48,83.3,43
2018,2414308,111.7,57,101.9,52
2019,2414308,103.6,53,89.9,46
2010,2414407,84,1061,56.9,719
2011,2414407,89.3,1026,55.9,642
2012,2414407,83.2,962,53.2,615
2013,2414407,74,893,62.5,754
2014,2414407,85.4,1039,73.2,890
2015,2414407,75.5,926,64.3,789
2016,2414407,76.3,943,65.1,805
2017,2414407,76.6,955,67.6,842
2018,2414407,79.4,981,70.8,874
2019,2414407,82.4,1004,73.9,901
2010,2414456,73.8,96,50,65
2011,2414456,104,131,64.3,81
2012,2414456,97.5,119,62.3,76
2013,2414456,94.5,118,81.7,102
2014,2414456,105.5,131,95,118
2015,2414456,80.2,99,68.1,84
2016,2414456,81.5,100,71.7,88
2017,2414456,93.4,114,80.3,98
2018,2414456,97.9,117,81.2,97
2019,2414456,117.1,139,93.5,111
2010,2414506,96.4,318,62.4,206
2011,2414506,86.5,256,54.1,160
2012,2414506,105.4,311,73.2,216
2013,2414506,103.5,314,87,264
2014,2414506,99.8,302,87.9,266
2015,2414506,87.5,264,78.6,237
2016,2414506,82.7,249,73.4,221
2017,2414506,74.9,225,68.3,205
2018,2414506,81.7,241,72.6,214
2019,2414506,82.3,242,69.4,204
2010,2414605,86,382,54.5,242
2011,2414605,81.4,349,55,236
2012,2414605,75.1,325,50.6,219
2013,2414605,73.1,332,66.3,301
2014,2414605,71.7,300,63.8,267
2015,2414605,83.4,388,75.9,353
2016,2414605,38.5,181,33.8,159
2017,2414605,36.8,175,32.4,154
2018,2414605,40.8,193,36.2,171
2019,2414605,47.1,225,40,191
2010,2414704,111.1,190,81.3,139
2011,2414704,111,182,73.8,121
2012,2414704,114.6,188,79.9,131
2013,2414704,92.9,158,85.2,145
2014,2414704,86.1,147,81.4,139
2015,2414704,95,163,85.7,147
2016,2414704,93.5,161,84.8,146
2017,2414704,93.2,161,86.2,149
2018,2414704,80.9,138,78.5,134
2019,2414704,77.7,133,73,125
2010,2414753,88.1,119,56.3,76
2011,2414753,91.4,117,62.5,80
2012,2414753,98.4,127,69,89
2013,2414753,112.2,151,86.2,116
2014,2414753,81,110,75.9,103
2015,2414753,86.9,119,69.4,95
2016,2414753,100,138,78.2,108
2017,2414753,81.2,113,71.2,99
2018,2414753,71.8,99,63.1,87
2019,2414753,65.6,91,60.5,84
2010,2414803,82.6,314,51.6,196
2011,2414803,121,432,77.9,278
2012,2414803,112.4,408,70.2,255
2013,2414803,94.6,362,88.6,339
2014,2414803,94.4,367,88,342
2015,2414803,96.5,381,85.9,339
2016,2414803,87.9,352,78.4,314
2017,2414803,76.8,312,67.7,275
2018,2414803,81.5,330,75.8,307
2019,2414803,83.4,342,72,295
2010,2414902,116.2,43,67.6,25
2011,2414902,31.9,15,10.6,5
2012,2414902,76.6,36,57.4,27
2013,2414902,75.8,37,67.6,33
2014,2414902,63.2,31,48.9,24
2015,2414902,91.2,45,81.1,40
2016,2414902,151.3,75,109,54
2017,2414902,136.5,68,84.3,42
2018,2414902,160.3,79,101.5,50
2019,2414902,165.8,82,113.3,56
2010,2415008,84.9,90,52.8,56
2011,2415008,117.8,106,85.6,77
2012,2415008,68.9,62,47.8,43
2013,2415008,98.9,93,84,79
2014,2415008,107.4,102,96.9,92
2015,2415008,85.5,82,76.1,73
2016,2415008,91.9,89,83.7,81
2017,2415008,85,83,77.8,76
2018,2415008,113.6,110,105.3,102
2019,2415008,105.6,103,97.4,95
2010,2500106,120.7,367,61.2,186
2011,2500106,81.2,264,39.4,128
2012,2500106,74.3,243,42.5,139
2013,2500106,78.7,265,71,239
2014,2500106,93.6,318,79.1,269
2015,2500106,84.8,291,77.2,265
2016,2500106,76,263,76,263
2017,2500106,74.5,260,73.3,256
2018,2500106,75.8,262,75.8,262
2019,2500106,76.4,266,76.4,266
2010,2500205,110.9,183,66.7,110
2011,2500205,80,140,49.1,86
2012,2500205,84,147,60.6,106
2013,2500205,86.9,154,74.5,132
2014,2500205,92,163,84.7,150
2015,2500205,72.9,129,67.8,120
2016,2500205,76.4,135,67.9,120
2017,2500205,69.7,123,64.6,114
2018,2500205,67.9,120,60.5,107
2019,2500205,62.6,112,58.7,105
2010,2500304,85,794,53.4,499
2011,2500304,94.2,879,53.2,496
2012,2500304,89,829,53.2,495
2013,2500304,85.8,809,73.6,694
2014,2500304,85,800,73.7,694
2015,2500304,76.3,717,66.8,628
2016,2500304,73.5,690,67.8,636
2017,2500304,86.4,810,74.9,702
2018,2500304,80.6,757,68.6,644
2019,2500304,78.8,737,70.6,660
2010,2500403,86.8,581,57.1,382
2011,2500403,76.3,546,47.1,337
2012,2500403,76.6,550,49,352
2013,2500403,79.8,586,72.5,532
2014,2500403,76.3,563,68,502
2015,2500403,69.9,518,65.1,483
2016,2500403,66.8,498,60.7,452
2017,2500403,68,509,59.3,444
2018,2500403,76.9,573,67.8,505
2019,2500403,77.4,584,71.5,539
2010,2500502,103.4,512,77.6,384
2011,2500502,109.9,531,70.2,339
2012,2500502,103.9,506,73.9,360
2013,2500502,88.5,442,81.9,409
2014,2500502,81.1,408,75.4,379
2015,2500502,78.4,397,73.7,373
2016,2500502,72,367,66.1,337
2017,2500502,76.1,390,72.2,370
2018,2500502,84.8,432,75.2,383
2019,2500502,84.7,435,75.4,387
2010,2500536,75.4,141,56.7,106
2011,2500536,105.5,173,68.3,112
2012,2500536,88.6,147,46.4,77
2013,2500536,89,151,81.9,139
2014,2500536,94.4,161,83.9,143
2015,2500536,115.6,198,84.6,145
2016,2500536,90.7,156,79,136
2017,2500536,127.9,221,90.8,157
2018,2500536,123.8,213,83.1,143
2019,2500536,129.8,224,97.3,168
2010,2500577,94.7,89,61.7,58
2011,2500577,107.6,99,59.8,55
2012,2500577,115.2,106,73.9,68
2013,2500577,114.7,108,98.8,93
2014,2500577,110.8,105,104.5,99
2015,2500577,92.4,88,88.2,84
2016,2500577,89.8,86,86.7,83
2017,2500577,78.9,76,76.9,74
2018,2500577,107.6,103,81.4,78
2019,2500577,119.4,118,94.1,93
2010,2500601,93.5,609,60.2,392
2011,2500601,99.1,653,65.6,432
2012,2500601,107.3,716,66.7,445
2013,2500601,106.9,734,80.1,550
2014,2500601,116.9,811,93.7,650
2015,2500601,113.7,796,94.8,664
2016,2500601,112.7,796,96.4,681
2017,2500601,103,734,85.5,609
2018,2500601,108.8,768,90,635
2019,2500601,110.5,788,98.9,705
2010,2500700,98.3,533,77.1,418
2011,2500700,102.5,497,68.5,332
2012,2500700,90,423,55.5,261
2013,2500700,100,477,73.8,352
2014,2500700,88.6,423,68.3,326
2015,2500700,92.6,442,72.7,347
2016,2500700,79.3,379,69.5,332
2017,2500700,74.7,357,65.1,311
2018,2500700,68.6,328,60.7,290
2019,2500700,74.7,359,69.5,334
2010,2500734,163.4,116,111.3,79
2011,2500734,150,120,102.5,82
2012,2500734,158,128,107.4,87
2013,2500734,163.5,136,114.2,95
2014,2500734,104.9,88,98.9,83
2015,2500734,127.7,108,84,71
2016,2500734,126.8,108,84.5,72
2017,2500734,129.3,111,97.8,84
2018,2500734,103.4,88,84.6,72
2019,2500734,85.3,73,83,71
2010,2500775,59,151,37.9,97
2011,2500775,51.6,131,33.5,85
2012,2500775,47.9,123,19.5,50
2013,2500775,45.3,120,38.8,103
2014,2500775,79.8,214,67.9,182
2015,2500775,80.8,219,70.4,191
2016,2500775,80.7,221,68.6,188
2017,2500775,71.9,199,67.6,187
2018,2500775,73.1,200,69.1,189
2019,2500775,84.3,231,73.7,202
2010,2500809,96.6,563,66.4,387
2011,2500809,99.8,506,68.4,347
2012,2500809,91.1,460,66.1,334
2013,2500809,116.5,594,81,413
2014,2500809,102.4,520,76.4,388
2015,2500809,88.2,446,70.2,355
2016,2500809,99.6,502,75.4,380
2017,2500809,89.8,451,79,397
2018,2500809,97.3,491,76.9,388
2019,2500809,88.1,442,76.5,384
2010,2500908,80.7,348,63.1,272
2011,2500908,73.6,301,54.8,224
2012,2500908,79.2,327,56.2,232
2013,2500908,84.5,358,72.4,307
2014,2500908,82.4,352,72.8,311
2015,2500908,84.1,362,74.4,320
2016,2500908,81.2,352,71.8,311
2017,2500908,65.8,287,58.5,255
2018,2500908,53.6,232,48,208
2019,2500908,75.8,329,64.1,278
2010,2501005,71.2,519,46.4,338
2011,2501005,72.5,508,49.2,345
2012,2501005,77,540,47.5,333
2013,2501005,77.3,558,61.1,441
2014,2501005,73.9,539,65.9,481
2015,2501005,68.9,508,62.8,463
2016,2501005,63.9,475,52.6,391
2017,2501005,68.9,517,56.9,427
2018,2501005,61.3,455,54.7,406
2019,2501005,54.9,410,51.7,386
2010,2501104,79.9,637,61,486
2011,2501104,79.4,635,58.5,468
2012,2501104,81.3,643,57.9,458
2013,2501104,83.3,661,75.1,596
2014,2501104,90.4,712,82.5,650
2015,2501104,84.1,657,78.6,614
2016,2501104,90.1,699,78.9,612
2017,2501104,88.8,684,77,593
2018,2501104,84.6,657,73.9,574
2019,2501104,87,671,78.7,607
2010,2501153,49,25,41.2,21
2011,2501153,33.8,23,29.4,20
2012,2501153,72.1,49,55.9,38
2013,2501153,99.6,68,63,43
2014,2501153,81.2,55,76.8,52
2015,2501153,74.4,50,69.9,47
2016,2501153,58.9,45,54.9,42
2017,2501153,61.8,47,55.2,42
2018,2501153,65.3,50,64,49
2019,2501153,69.6,53,68.3,52
2010,2501203,114.2,290,89,226
2011,2501203,122.4,279,76.8,175
2012,2501203,120.6,275,74.1,169
2013,2501203,114.3,272,96.3,229
2014,2501203,109.9,263,105.3,252
2015,2501203,119.2,287,113.8,274
2016,2501203,115.7,280,103.3,250
2017,2501203,104.4,254,93.3,227
2018,2501203,108.7,263,95.5,231
2019,2501203,105.7,258,100.8,246
2010,2501302,85.2,553,57.9,376
2011,2501302,82.5,532,49.1,317
2012,2501302,80.5,520,43.7,282
2013,2501302,65.6,429,57.9,379
2014,2501302,85.7,560,71.8,469
2015,2501302,88.4,577,77.4,505
2016,2501302,93.9,612,83.7,545
2017,2501302,81.9,533,68.5,446
2018,2501302,91.4,596,79.6,519
2019,2501302,97.4,634,82.5,537
2010,2501351,151.2,186,103.3,127
2011,2501351,112.3,137,76.2,93
2012,2501351,114.6,141,73.2,90
2013,2501351,107.7,137,103.7,132
2014,2501351,119.4,154,113.2,146
2015,2501351,129.4,169,124.8,163
2016,2501351,103.7,137,102.1,135
2017,2501351,102.5,137,93.5,125
2018,2501351,109.1,144,96.2,127
2019,2501351,149.2,203,105.8,144
2010,2501401,96.7,327,63,213
2011,2501401,97.8,348,62.4,222
2012,2501401,97.5,350,71.3,256
2013,2501401,88,328,64.6,241
2014,2501401,104.6,396,66.8,253
2015,2501401,90.3,347,68.2,262
2016,2501401,112.1,437,81.1,316
2017,2501401,101.5,401,74.2,293
2018,2501401,87.4,340,66.3,258
2019,2501401,82.7,324,71.7,281
2010,2501500,94.1,720,70.8,542
2011,2501500,94.5,726,69,530
2012,2501500,91.7,703,64.5,495
2013,2501500,83.7,650,67.9,527
2014,2501500,86.8,651,74.9,562
2015,2501500,82.7,619,70.4,527
2016,2501500,84.3,630,72.5,542
2017,2501500,83,619,71.2,531
2018,2501500,84.8,634,73.7,551
2019,2501500,83.9,631,78.9,593
2010,2501534,78.7,133,59.2,100
2011,2501534,94.9,149,52.2,82
2012,2501534,89.3,142,52.2,83
2013,2501534,81.2,135,74,123
2014,2501534,80.2,136,74.9,127
2015,2501534,73.5,127,70.6,122
2016,2501534,70.5,124,66.5,117
2017,2501534,75.5,135,68.2,122
2018,2501534,83.2,146,78.1,137
2019,2501534,82.8,147,73.8,131
2010,2501575,109.7,282,79.8,205
2011,2501575,114.4,270,79.7,188
2012,2501575,105.5,249,66.1,156
2013,2501575,99.9,239,85.3,204
2014,2501575,102,244,93.7,224
2015,2501575,104.8,249,88.8,211
2016,2501575,105.7,251,86.3,205
2017,2501575,101.1,240,88,209
2018,2501575,86.3,205,77,183
2019,2501575,98.8,238,78.5,189
2010,2501609,88.6,442,59.5,297
2011,2501609,90.9,437,55.1,265
2012,2501609,81.7,397,49.6,241
2013,2501609,90.3,452,84.3,422
2014,2501609,85.6,433,75.7,383
2015,2501609,74.2,379,63.6,325
2016,2501609,76.1,392,60.9,314
2017,2501609,71,369,58.8,306
2018,2501609,58.9,303,52.6,271
2019,2501609,56.3,292,49,254
2010,2501708,83.6,148,56.5,100
2011,2501708,82.2,143,55.2,96
2012,2501708,81.6,142,54.6,95
2013,2501708,90.8,162,85.2,152
2014,2501708,97.9,176,87.9,158
2015,2501708,95.6,173,86.2,156
2016,2501708,90.1,164,78,142
2017,2501708,90.1,165,83.5,153
2018,2501708,92.9,169,85.2,155
2019,2501708,88.7,164,79.5,147
2010,2501807,65.4,2095,44.3,1418
2011,2501807,77.5,2450,50.9,1608
2012,2501807,71.9,2283,49.5,1573
2013,2501807,74.9,2431,63.9,2074
2014,2501807,81.8,2472,68.6,2073
2015,2501807,82.1,2492,69.5,2111
2016,2501807,80,2439,69.6,2123
2017,2501807,76.9,2357,66.5,2038
2018,2501807,75,2287,65,1982
2019,2501807,75.4,2308,66.6,2039
2010,2501906,101.9,527,66.3,343
2011,2501906,97.5,512,65.9,346
2012,2501906,91.4,480,58.3,306
2013,2501906,92.1,493,77.6,415
2014,2501906,102.1,548,85.4,458
2015,2501906,87,468,75.5,406
2016,2501906,84.3,455,74.1,400
2017,2501906,88.6,479,76.4,413
2018,2501906,86.9,469,78.8,425
2019,2501906,84,454,77.3,418
2010,2502003,101.4,222,67.1,147
2011,2502003,74.1,186,54.6,137
2012,2502003,66.5,167,50.6,127
2013,2502003,94.7,242,68.1,174
2014,2502003,107,274,70.7,181
2015,2502003,108,277,69,177
2016,2502003,102.7,264,68.9,177
2017,2502003,90.5,233,66.8,172
2018,2502003,71.6,184,63,162
2019,2502003,76.6,197,63.4,163
2010,2502052,79.6,117,57.8,85
2011,2502052,104.7,133,70.9,90
2012,2502052,107,137,61.7,79
2013,2502052,79.2,105,70.9,94
2014,2502052,72.9,98,68.4,92
2015,2502052,94.7,129,78.5,107
2016,2502052,81.9,113,73.2,101
2017,2502052,74.5,104,65.2,91
2018,2502052,72.6,100,69.7,96
2019,2502052,73.9,105,68.2,97
2010,2502102,79.5,132,53,88
2011,2502102,87.8,151,60.5,104
2012,2502102,108.8,185,82.4,140
2013,2502102,113.9,193,90.3,153
2014,2502102,126,211,96.2,161
2015,2502102,98.5,163,81,134
2016,2502102,104.6,171,82.6,135
2017,2502102,92.8,150,62.5,101
2018,2502102,98.8,162,71.4,117
2019,2502102,91.3,148,79.5,129
2010,2502151,98.1,159,64.2,104
2011,2502151,72.9,153,42.4,89
2012,2502151,82.7,177,55.1,118
2013,2502151,90.8,202,85,189
2014,2502151,90.7,205,83.1,188
2015,2502151,91.9,211,83.2,191
2016,2502151,88.4,206,75.5,176
2017,2502151,85.5,202,77,182
2018,2502151,86,200,74,172
2019,2502151,87.6,206,79.5,187
2010,2502201,91,71,67.9,53
2011,2502201,106.6,81,88.2,67
2012,2502201,103.9,80,67.5,52
2013,2502201,138,109,127.9,101
2014,2502201,136.9,109,131.9,105
2015,2502201,106,85,79.8,64
2016,2502201,104,84,89.2,72
2017,2502201,96,78,70.1,57
2018,2502201,109.1,88,70.7,57
2019,2502201,69.1,56,67.8,55
2010,2502300,78.8,108,54,74
2011,2502300,86.5,115,54.9,73
2012,2502300,84.2,112,56.4,75
2013,2502300,77.5,104,64.1,86
2014,2502300,87.5,117,77.8,104
2015,2502300,96.8,129,84.8,113
2016,2502300,76.8,102,70.8,94
2017,2502300,60.5,80,51.4,68
2018,2502300,60.2,80,57.2,76
2019,2502300,64.2,85,60.4,80
2010,2502409,109,495,67,304
2011,2502409,98,400,61.8,252
2012,2502409,97.6,404,55.8,231
2013,2502409,90.7,388,72.7,311
2014,2502409,88.5,383,72.7,315
2015,2502409,80.8,354,71.7,314
2016,2502409,74.3,329,63.9,283
2017,2502409,68.8,308,61.4,275
2018,2502409,57.4,254,52.2,231
2019,2502409,56,250,52.6,235
2010,2502508,59.6,367,41.1,253
2011,2502508,78.5,449,52.4,300
2012,2502508,59,339,40.2,231
2013,2502508,71.6,421,62.1,365
2014,2502508,79.1,468,69,408
2015,2502508,81.7,487,72,429
2016,2502508,86.6,519,74.9,449
2017,2502508,81.4,490,72.1,434
2018,2502508,72.6,435,67,401
2019,2502508,72.4,435,65.4,393
2010,2502607,117.7,239,82.3,167
2011,2502607,103.7,197,66.8,127
2012,2502607,101.1,192,74.7,142
2013,2502607,98.8,190,80.1,154
2014,2502607,61.4,118,52.6,101
2015,2502607,68.8,132,62.1,119
2016,2502607,62.1,119,54.8,105
2017,2502607,56,107,51.3,98
2018,2502607,65.8,126,58.5,112
2019,2502607,78.1,148,72.3,137
2010,2502706,89.1,197,67.9,150
2011,2502706,68.2,144,46,97
2012,2502706,67.6,144,53.5,114
2013,2502706,60,131,52.2,114
2014,2502706,78.7,173,63.7,140
2015,2502706,74.2,164,63.3,140
2016,2502706,73.3,163,54.4,121
2017,2502706,62.6,140,48.7,109
2018,2502706,39.6,88,33.7,75
2019,2502706,87.6,190,62.7,136
2010,2502805,97,391,66.5,268
2011,2502805,89.9,366,56.8,231
2012,2502805,97.6,401,72.3,297
2013,2502805,99.5,420,93.6,395
2014,2502805,87.4,372,84.6,360
2015,2502805,75.7,325,72.5,311
2016,2502805,73.8,319,69.6,301
2017,2502805,68,296,66.1,288
2018,2502805,66.2,286,63.2,273
2019,2502805,74.3,324,70.9,309
2010,2502904,94.1,191,65.5,133
2011,2502904,95.9,187,57.9,113
2012,2502904,90.9,179,55.8,110
2013,2502904,90,181,79.6,160
2014,2502904,77.8,157,69.9,141
2015,2502904,71.6,145,65.2,132
2016,2502904,78.2,159,71.3,145
2017,2502904,86.8,177,80.4,164
2018,2502904,74.3,151,70.4,143
2019,2502904,64.8,132,60.4,123
2010,2503001,90.2,707,65.6,514
2011,2503001,75.5,602,50.7,404
2012,2503001,84.5,678,61.7,495
2013,2503001,82.2,677,73.9,609
2014,2503001,82.8,688,72.7,604
2015,2503001,90.2,755,80.8,676
2016,2503001,91.1,768,82.4,695
2017,2503001,97.7,830,87.8,746
2018,2503001,83.8,706,78.8,664
2019,2503001,76.8,651,69.3,587
2010,2503100,94.6,141,73.8,110
2011,2503100,104.9,172,84.1,138
2012,2503100,107.8,179,83.7,139
2013,2503100,91.5,157,82.8,142
2014,2503100,88.1,153,83.5,145
2015,2503100,97.9,172,91.1,160
2016,2503100,93.4,166,84.4,150
2017,2503100,71.3,128,69,124
2018,2503100,77.2,137,72.1,128
2019,2503100,79,143,70.2,127
2010,2503209,51.6,970,30.2,567
2011,2503209,49.4,920,29.6,550
2012,2503209,47.2,895,33.3,632
2013,2503209,53.5,1061,46.8,928
2014,2503209,52,1053,43.8,887
2015,2503209,54.5,1127,47.1,973
2016,2503209,57.5,1211,45.1,950
2017,2503209,44.8,959,39.2,839
2018,2503209,62.3,1307,53.7,1128
2019,2503209,58.1,1240,51.4,1097
2010,2503308,86.4,261,57,172
2011,2503308,86.9,266,53.6,164
2012,2503308,94.8,291,62.9,193
2013,2503308,85.3,269,73.9,233
2014,2503308,82.4,262,65.4,208
2015,2503308,82,263,71.4,229
2016,2503308,85.1,275,70.6,228
2017,2503308,84.8,276,66.1,215
2018,2503308,88.3,285,65.4,211
2019,2503308,80.1,260,62.8,204
2010,2503407,84.3,91,50.9,55
2011,2503407,74.1,86,53.4,62
2012,2503407,86.3,101,65.8,77
2013,2503407,97.7,117,76.9,92
2014,2503407,96.4,116,66.5,80
2015,2503407,99.2,120,76.9,93
2016,2503407,88,107,67.4,82
2017,2503407,70.4,86,50.7,62
2018,2503407,91.3,111,57.6,70
2019,2503407,115.8,139,78.3,94
2010,2503506,96,547,70.7,403
2011,2503506,89.4,512,61.1,350
2012,2503506,82.6,478,55.3,320
2013,2503506,76.9,452,68.4,402
2014,2503506,81.8,481,75.2,442
2015,2503506,76,447,71.8,422
2016,2503506,80.4,473,72.1,424
2017,2503506,80.4,473,70.9,417
2018,2503506,71.7,422,68.2,401
2019,2503506,69.6,410,66.5,392
2010,2503555,98.6,344,70.5,246
2011,2503555,94.7,305,63,203
2012,2503555,87.3,283,63.3,205
2013,2503555,85.7,284,73.3,243
2014,2503555,87.9,293,77.4,258
2015,2503555,82.7,277,72.8,244
2016,2503555,77.2,260,68.3,230
2017,2503555,78.3,265,65.6,222
2018,2503555,88.2,297,68.9,232
2019,2503555,60.4,204,59.2,200
2010,2503605,109.3,235,79.1,170
2011,2503605,114.8,256,78.9,176
2012,2503605,109,243,77.1,172
2013,2503605,123,278,105.3,238
2014,2503605,114.2,258,97.8,221
2015,2503605,97.9,221,82.4,186
2016,2503605,95.8,216,81.1,183
2017,2503605,85.2,192,82.1,185
2018,2503605,90.4,204,79.8,180
2019,2503605,100.5,224,85.7,191
2010,2503704,95.9,1657,71.6,1237
2011,2503704,100.2,1673,72.4,1208
2012,2503704,93.9,1575,65.3,1095
2013,2503704,89,1531,72.6,1249
2014,2503704,92.3,1598,77,1333
2015,2503704,90.6,1579,72.7,1268
2016,2503704,87.6,1537,71.8,1259
2017,2503704,90.6,1599,71.2,1256
2018,2503704,90.1,1580,71.9,1260
2019,2503704,89.6,1576,75.3,1325
2010,2503753,25.7,29,9.7,11
2011,2503753,21.3,23,10.2,11
2012,2503753,101.8,111,70.6,77
2013,2503753,74.4,83,61,68
2014,2503753,88.3,99,74.9,84
2015,2503753,79,89,71.9,81
2016,2503753,81.2,92,74.2,84
2017,2503753,82.6,94,73.8,84
2018,2503753,63.6,72,56.5,64
2019,2503753,70.4,80,64.2,73
2010,2503803,97,163,64.9,109
2011,2503803,96.4,163,63.9,108
2012,2503803,104.7,178,70,119
2013,2503803,97.5,170,79.7,139
2014,2503803,89.3,157,68.8,121
2015,2503803,83.1,147,63.8,113
2016,2503803,84.7,151,71.3,127
2017,2503803,89.2,160,80.3,144
2018,2503803,92.1,164,76.9,137
2019,2503803,101.6,182,89.4,160
2010,2503902,111.1,211,77.9,148
2011,2503902,111.8,199,73,130
2012,2503902,106.1,191,62.8,113
2013,2503902,95.7,176,89.7,165
2014,2503902,112.6,208,103.4,191
2015,2503902,127.7,237,102.9,191
2016,2503902,102.5,191,86.4,161
2017,2503902,86.6,162,78.1,146
2018,2503902,89.1,166,83.2,155
2019,2503902,78.7,147,76.5,143
2010,2504009,84.9,9609,61.3,6937
2011,2504009,83.2,9509,60.3,6890
2012,2504009,80.8,9293,55.6,6390
2013,2504009,86.9,10255,71.9,8478
2014,2504009,84.7,10067,70.7,8404
2015,2504009,81.2,9698,70.1,8376
2016,2504009,84.7,10188,72,8658
2017,2504009,79.7,9640,70,8474
2018,2504009,79.7,9571,70.5,8466
