ano,id_municipio,taxa_bruta_matricula_pre_escola,numero_absoluto_bruto_matricula_pre_escola,taxa_liquida_matricula_pre_escola,numero_absoluto_liquido_matricula_pre_escola
2011,1100155,94.4,1106,55.3,647
2012,1100155,91.6,1068,55.3,645
2013,1100155,81,1010,73.2,913
2014,1100155,87.7,1091,67.6,842
2015,1100155,77.1,957,60.3,749
2016,1100155,74,917,54.6,677
2017,1100155,77.6,960,57.7,714
2018,1100155,86.3,976,64.4,728
2019,1100155,72.4,812,62.8,704
2010,1100189,78.5,836,44.9,478
2011,1100189,82.2,897,49.8,543
2012,1100189,83,910,46.9,514
2013,1100189,74,878,66.5,789
2014,1100189,67.4,806,53.9,644
2015,1100189,73.7,888,56,675
2016,1100189,77.5,940,57,691
2017,1100189,77.3,944,58,709
2018,1100189,81.2,950,59.8,700
2019,1100189,73.2,862,58.7,691
2010,1100205,76.5,11021,46.8,6745
2011,1100205,80.8,11480,48.6,6911
2012,1100205,75.4,10880,49.6,7159
2013,1100205,72.5,11466,67.7,10710
2014,1100205,74.3,11964,69.4,11176
2015,1100205,76.1,12478,66.7,10929
2016,1100205,78.6,13101,66.1,11013
2017,1100205,72.3,12245,62.9,10656
2018,1100205,67.3,11400,63,10680
2019,1100205,67.4,11646,63.8,11011
2010,1100254,68.3,469,36.8,253
2011,1100254,72.1,490,44.3,301
2012,1100254,79.6,534,41.4,278
2013,1100254,71.7,510,63.4,451
2014,1100254,72.8,513,59.4,418
2015,1100254,66.3,462,54.8,382
2016,1100254,68.2,471,59.1,408
2017,1100254,59.1,404,48.1,329
2018,1100254,73,438,53.5,321
2019,1100254,59.3,348,53,311
2010,1100262,93.5,100,51.4,55
2011,1100262,78.8,93,46.6,55
2012,1100262,81.7,98,47.5,57
2013,1100262,77.5,101,72.1,94
2014,1100262,65.2,86,55.3,73
2015,1100262,67.5,90,52.5,70
2016,1100262,70.5,95,51.9,70
2017,1100262,74.2,101,52.1,71
2018,1100262,75.5,100,51.4,68
2019,1100262,58.3,78,51.5,69
2010,1100288,74.5,1193,41.9,671
2011,1100288,80.1,1299,46.8,758
2012,1100288,78.2,1274,45,733
2013,1100288,75.2,1326,67.1,1183
2014,1100288,66.4,1181,52.5,933
2015,1100288,76.4,1370,56.7,1016
2016,1100288,79.3,1432,61.2,1106
2017,1100288,76,1383,57.7,1050
2018,1100288,77,1343,58.6,1021
2019,1100288,66.4,1166,59.4,1042
2010,1100296,61.9,159,32.3,83
2011,1100296,68.4,167,37.7,92
2012,1100296,77.3,184,42.4,101
2013,1100296,70.5,176,62.9,157
2014,1100296,67.5,165,55.2,135
2015,1100296,65.5,157,52.6,126
2016,1100296,65.2,153,51.1,120
2017,1100296,71.2,164,57.8,133
2018,1100296,83,158,62.5,119
2019,1100296,70.7,129,65.8,120
2010,1100304,86.7,2283,54,1421
2011,1100304,91.4,2368,56.1,1453
2012,1100304,90.4,2393,54.6,1444
2013,1100304,84.1,2452,75.9,2212
2014,1100304,76.4,2281,59.8,1784
2015,1100304,76.1,2322,56.8,1734
2016,1100304,75,2337,56.9,1774
2017,1100304,76.2,2422,58,1844
2018,1100304,79.7,2580,59.3,1921
2019,1100304,65,2158,58.8,1952
2010,1100320,64.4,520,27.1,219
2011,1100320,73.8,569,35.5,274
2012,1100320,68,526,32.9,255
2013,1100320,59.2,495,51.7,432
2014,1100320,41.7,350,37.7,317
2015,1100320,52,439,44.6,377
2016,1100320,51.6,438,44.7,380
2017,1100320,53.1,453,45.7,390
2018,1100320,59.3,480,47.3,383
2019,1100320,55,447,49.6,403
2010,1100338,50.6,497,29.7,292
2011,1100338,57.9,567,29.9,293
2012,1100338,64.4,647,30.8,309
2013,1100338,63.1,700,54.4,604
2014,1100338,59.2,675,50.2,572
2015,1100338,60.3,705,50.3,588
2016,1100338,59.2,708,48.5,580
2017,1100338,54.9,671,45.3,554
2018,1100338,52.9,666,43,541
2019,1100338,40.8,528,39.2,507
2010,1100346,65.1,356,31.8,174
2011,1100346,62.1,336,32.5,176
2012,1100346,65.9,352,31.3,167
2013,1100346,58.4,331,51.7,293
2014,1100346,52.1,292,44.8,251
2015,1100346,49.7,276,41,228
2016,1100346,52.7,290,40.9,225
2017,1100346,51.5,281,40.5,221
2018,1100346,67.4,323,52.8,253
2019,1100346,57.8,271,50.7,238
2010,1100379,36.1,180,16.8,84
2011,1100379,38.7,189,20.7,101
2012,1100379,33.9,166,15.1,74
2013,1100379,30.7,162,28.3,149
2014,1100379,38.6,204,31.4,166
2015,1100379,33.7,179,28.2,150
2016,1100379,32.8,175,25.3,135
2017,1100379,30.6,164,25.8,138
2018,1100379,33.9,171,26.6,134
2019,1100379,37.3,188,32.9,166
2010,1100403,25.6,163,13.2,84
2011,1100403,27.1,171,12.8,81
2012,1100403,26.7,171,15,96
